cash,strategy,seed,minutes,garage,minCash,profitAt,upgradeAt,clients,MRR,rep,servers
1900,lowAcceptance,42,135.3,true,363,40.8,13.8,27,8096,100,3
1900,lowAcceptance,123,144.3,true,758,31.8,13.8,14,4941,100,2
1900,lowAcceptance,999,135.3,true,362,18.3,13.8,14,4472,100,2
1900,highAcceptance,1,72.3,true,226,18.0,6.9,66,14352,100,4
1900,highAcceptance,7,90.3,true,415,25.5,8.7,86,10886,100,4
1900,highAcceptance,42,81.3,true,284,19.8,3.3,82,12328,100,4
1900,highAcceptance,123,81.3,true,380,15.6,6.0,89,12063,100,4
1900,highAcceptance,999,90.3,true,273,20.1,3.3,79,11877,100,4
1900,unluckyChurn,1,72.3,true,233,18.3,6.9,56,14840,99,4
1900,unluckyChurn,7,72.3,true,374,18.3,8.7,53,15736,100,4
1900,unluckyChurn,42,72.3,true,389,16.5,3.3,49,14826,100,4
1900,unluckyChurn,123,72.3,true,611,15.6,6.0,56,14001,100,4
1900,unluckyChurn,999,72.3,true,361,15.6,3.3,59,15773,100,4
2200,aggressive,1,72.3,true,108,18.0,6.9,61,14413,100,4
2200,aggressive,7,72.3,true,115,18.3,8.7,56,14006,97,4
2200,aggressive,42,63.3,true,101,19.2,3.3,53,14938,98,4
2200,aggressive,123,63.3,true,228,15.6,6.0,51,13833,100,4
2200,aggressive,999,72.3,true,93,17.1,3.3,59,14330,100,4
2200,conservative,1,81.3,true,1024,21.9,7.5,53,14452,100,4
2200,conservative,7,81.3,true,1021,19.2,9.3,49,12776,100,4
2200,conservative,42,81.3,true,957,20.1,3.9,49,13387,100,4
2200,conservative,123,90.3,true,1063,15.6,6.6,63,12713,100,4
2200,conservative,999,81.3,true,952,17.4,3.9,52,13875,100,4
2200,poorPurchases,1,108.3,true,157,18.3,0.3,54,15600,100,4
2200,poorPurchases,7,90.3,true,191,47.1,0.3,55,14770,100,4
2200,poorPurchases,42,81.9,true,-27,36.3,0.3,54,15578,100,4
2200,poorPurchases,123,81.9,true,361,18.3,0.3,59,15297,100,4
2200,poorPurchases,999,108.3,true,282,36.3,0.3,49,15511,100,4
2200,prematureUpgrades,1,81.3,true,296,25.5,0.3,60,14982,100,4
2200,prematureUpgrades,7,72.3,true,363,18.3,0.3,62,13928,100,4
2200,prematureUpgrades,42,72.3,true,411,19.2,0.3,58,14480,100,4
2200,prematureUpgrades,123,72.3,true,351,18.0,0.3,57,13831,100,4
2200,prematureUpgrades,999,72.3,true,359,16.2,0.3,59,14621,100,4
2200,lowAcceptance,1,117.3,true,579,27.3,13.8,18,6930,100,3
2200,lowAcceptance,7,108.3,true,745,22.8,13.8,18,5365,100,2
2200,lowAcceptance,42,171.3,true,110,72.3,13.8,13,5177,100,2
2200,lowAcceptance,123,144.3,true,1058,31.8,13.8,14,4941,100,2
2200,lowAcceptance,999,135.3,true,503,18.3,13.8,14,4472,100,2
2200,highAcceptance,1,81.3,true,345,21.9,6.9,79,13820,100,4
2200,highAcceptance,7,81.3,true,285,18.3,8.7,86,12048,100,4
2200,highAcceptance,42,81.3,true,255,17.4,3.3,72,12498,100,4
2200,highAcceptance,123,72.3,true,317,14.7,6.0,78,11665,100,4
2200,highAcceptance,999,72.3,true,236,13.8,3.3,75,13270,100,4
2200,unluckyChurn,1,72.3,true,380,17.4,6.9,56,14428,98,4
2200,unluckyChurn,7,72.3,true,392,18.3,8.7,57,15253,100,4
2200,unluckyChurn,42,72.3,true,255,16.5,3.3,52,15113,100,4
2200,unluckyChurn,123,72.3,true,255,22.5,6.0,58,14375,99,4
2200,unluckyChurn,999,72.3,true,361,14.7,3.3,54,14945,100,4
